City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,kargil,34.5667,76.1,270.21,96,100,0.79,IN,1679252553
331,kudahuvadhoo,2.6708,72.8944,300.35,77,95,1.83,MV,1679252554
332,flinders,-34.5833,150.8552,295.47,86,98,1.79,AU,1679252555
333,esil,51.9556,66.4042,256.04,80,2,3.66,KZ,1679252556
334,barinas,8.6226,-70.2075,306.17,33,25,3.11,VE,1679252556
335,vila franca do campo,37.7167,-25.4333,289.38,86,49,5.93,PT,1679252557
336,matagami,49.7502,-77.6328,263.21,57,75,6.17,CA,1679252559
337,mount gambier,-37.8333,140.7667,285.48,65,71,5.4,AU,1679252560
338,ambilobe,-13.2,49.05,296.72,94,20,1.48,MG,1679252378
339,muros,42.7762,-9.0603,286.95,78,99,2.68,ES,1679252561
340,kitimat,54.0524,-128.6534,279.36,67,100,1.7,CA,1679252562
341,iqaluit,63.7506,-68.5145,246.0,69,0,9.77,CA,1679252562
342,alice springs,-23.7,133.8833,293.9,68,15,0.0,AU,1679252564
343,marzuq,14.4,46.4667,298.56,52,100,1.32,YE,1679252564
344,aykhal,66.0,111.5,238.86,100,100,3.35,RU,1679252565
345,bandarbeyla,9.4942,50.8122,299.9,79,100,1.57,SO,1679252566
346,kefamenanu,-9.4467,124.4781,294.31,96,94,1.58,ID,1679252566
347,naze,28.3667,129.4833,290.66,75,100,4.34,JP,1679252473
348,moose factory,51.2585,-80.6094,262.15,72,75,5.14,CA,1679252568
349,matamoros,25.5333,-103.25,284.32,50,26,4.64,MX,1679252568
350,padang,-0.9492,100.3543,298.18,88,100,1.74,ID,1679252569
351,qui nhon,13.7667,109.2333,295.48,89,99,1.77,VN,1679252569
352,torbay,47.6666,-52.7314,278.53,96,100,9.77,CA,1679252570
353,kangaatsiaq,68.3065,-53.4641,266.3,88,100,5.33,GL,1679252571
354,aloleng,16.1307,119.7824,297.3,73,100,2.62,PH,1679252572
355,abashiri,44.0213,144.2697,274.23,66,0,4.13,JP,1679252573
356,akcaabat,41.0212,39.5715,283.08,93,75,2.57,TR,1679252574
357,altayskoye,51.9533,85.3325,264.65,93,100,5.27,RU,1679252574
358,selfoss,63.9331,-20.9971,269.84,48,89,5.07,IS,1679252575
359,kamina,-8.7386,24.9906,291.12,94,52,1.38,CD,1679252576
360,rapid valley,44.0625,-103.1463,284.5,15,20,6.69,US,1679252576
361,ngunguru,-35.6167,174.5,287.97,86,22,2.56,NZ,1679252577
362,takaka,-40.85,172.8,289.02,73,40,1.44,NZ,1679252577
363,zharkent,44.1628,80.0,273.88,53,15,2.97,KZ,1679252578
364,maningrida,-12.0667,134.2667,297.35,90,100,3.11,AU,1679252579
365,san quintin,30.4833,-115.95,292.24,48,100,3.61,MX,1679252579
366,gueugnon,46.6036,4.0629,284.12,77,93,1.53,FR,1679252581
